year,plant,species,site,habitat,treatment,survival,height,length,width,green_lvs,scape,new_lvs,biomass,canopy,lf_long,comments
1993,571,2,6,3,1,1,74,75,64,3,0,1,857,75,3,
1985,180,1,6,4,1,1,99,119,83,7,0,,1890,,,
1993,30,2,4,2,,1,159,151,100,5.5,1,3,2073,14,2.2,
2001,486,1,6,3,1,1,124,207,140,8,0,8,3585,,,
1991,546,1,6,4,5,1,99,112,90,7,0,,1990,,,
1994,564,2,6,3,1,1,51,45,24,2,0,1,96,,2,
1997,460,1,6,3,1,1,95,91,70,4,0,2,468,,2,
2001,581,1,6,4,5,1,101,149,147,7,0,7,2720,,,
1996,132,1,6,4,2,1,96,139,87,7,0,3,1948,,2.33,
1993,110,1,2,2,,1,65,93,79,10,0,4,4160,43,2.5,
1995,780,2,6,4,4,1,79,114,81,4,0,2,1371,,,
1989,1,2,1,1,,1,74,160,117,4,0,1,1757,,,
1981,94,1,2,2,,1,96,115,68,6,0,,1168,,,
1985,242,2,6,4,2,1,120,172,147,3,0,,1746,,,
1990,317,2,6,4,1,1,105,160,106,5,0,2,1971,,2.5,
1986,30,2,4,2,,1,96,163,135,5,1,2,2282,,,
1987,128,1,6,4,2,1,101,142,112,8,2,8,3110,,,
1996,84,2,5,2,,1,78,143,117,9,1,3,3419,,3,
1993,67,2,2,2,,1,91,130,91,4,0,1,1478,13,4,
2017,191,1,6,4,1,0,,,,,,,,,,
1991,118,2,3,1,,1,75,99,66,3,0,1,878,,3,
1981,89,1,3,1,,1,45,78,73,6,0,,1222,,,
1991,461,1,6,3,1,1,92,105,91,9,0,4,3573,,2.25,
1992,502,2,6,3,2,1,120,153,92,4,0,4,1489,,1,
1992,586,2,6,3,1,1,129,241,183,5.5,1,2,2962,,3.67,
1983,32,1,1,1,,1,78,93,86,11,0,5,5468,,,
1990,206,1,6,4,1,1,122,180,151,12,0,5,9560,,2.4,
1997,504,1,6,4,5,1,80,81,71,6,0,2,1200,,,
1992,595,1,6,4,5,1,90,121,82,4,0,4,518,,,
1997,209,1,6,4,1,1,194,157,141,10,0,3,6017,,3.33,
1997,405,1,6,3,2,1,64,103,69,6,0,2,1179,,3,
1996,471,1,6,3,1,1,132,187,135,10,0,4,5852,,2.5,
1996,710,2,6,4,4,1,144,225,164,7,1,2,3258,,,
1997,252,2,6,4,2,1,96,127,115,4,0,1,1735,,4,
1991,554,2,6,3,1,1,135,214,123,4,0,1,1821,,4,
2001,578,1,6,4,5,1,77,125,50,3,0,3,195,,,
1995,658,2,6,4,5,1,99,147,110,3,0,1,1349,,,
1996,292,2,6,4,1,1,81,198,157,4.5,0,2,2351,,3,
1996,626,1,6,4,3,1,109,171,123,12,0,5,8389,,,
1985,15,1,4,2,,1,94,104,60,6,0,2,1078,,,
1987,118,1,3,1,,1,48,64,62,5,0,2,724,,,
1985,40,2,2,1,,1,75,105,102,3,0,2,1264,,,
1981,42,2,2,1,,1,66,102,66,2,0,,546,,,
1987,25,1,5,2,,1,51,63,35,5,0,3,503,,,
1995,84,2,5,2,,1,72,153,85,5,0,5,1747,,1,
2001,20,2,1,1,,1,42,75,62,3,0,3,835,,,
1991,104,1,2,2,,1,93,115,112,11,1,4,6469,,3.14,
1987,118,2,3,1,,1,77,69,37,2,0,2,235,,,
2001,504,1,6,4,5,1,72,72,70,6,0,6,1190,,,
1996,313,2,6,4,1,1,141,223,148,4,0,2,2089,,2,
1982,1,1,4,2,,1,61,75,71,6,0,4,1200,,,
1994,42,1,1,1,,1,45,58,46,6,0,2,910,,3,
1993,770,2,6,4,3,1,97,197,110,5,0,2,2014,37,,
1991,559,1,6,4,3,1,86,119,80,7,0,,1846,,,
2017,509,1,6,4,5,1,135,137,133,5,0,,1177,,,unburned in 2013 fire
1986,17,1,4,2,,1,95,117,80,9,0,4,3291,,,
2017,154,1,6,4,2,1,113,126,97,6,0,,1464,,,
1997,625,1,6,4,5,1,100,151,104,9,0,3,3890,,,
1991,501,2,6,3,2,1,64,90,56,5,0,2,1436,,2.5,
1995,270,2,6,4,2,1,71,103,52,3,0,2,728,,1.5,
1990,23,2,4,2,,1,116,142,89,4,0,3,1291,,1.4,
1990,546,2,6,3,2,1,85,114,98,5,0,5,1720,,1,
1994,55,1,5,2,,1,82,86,63,8,1,4,2156,,2,
1994,618,1,6,4,3,1,87,110,101,5,0,3,988,,,
1993,613,1,6,4,4,1,114,178,169,13,0,3,12347,81,,
1993,517,2,6,3,2,1,70,117,93,3,0,1,1167,11,3,
1996,57,2,4,2,,1,96,128,105,3.5,2,4,1462,,1,
1981,29,2,4,2,,1,82,111,62,4,0,,1168,,,
1989,539,2,6,3,2,1,109,167,148,5,2,,2421,,,
1997,455,1,6,3,1,1,95,150,39,4,0,2,323,,2,
1993,119,2,3,1,,1,76,93,51,3,0,2,717,1,1.5,
1996,504,2,6,3,2,1,105,154,148,4,0,4,2089,,1,
1997,3,2,1,1,,1,90,146,93,4,0,2,1500,,2,
1995,288,2,6,4,1,1,98,172,126,4,0,2,1853,,2,
1991,53,2,4,2,,1,103,191,158,4,0,4,2196,,1,
2017,478,1,6,3,1,1,82,82,57,5,0,,686,,,
1993,91,2,5,2,,1,76,114,67,4,1,2,1221,7,2,
1996,89,1,3,1,,1,47,92,48,5,0,2,615,,2.5,
1991,643,1,6,4,3,1,94,110,84,7,0,,1905,,,
1986,55,2,4,2,,1,109,192,174,8,1,3,3697,,,
1984,61,2,2,2,,1,118,146,117,5,0,2,2089,,,
1992,643,1,6,4,3,1,92,110,90,4,0,4,549,,,
1990,127,1,6,4,2,1,75,91,78,5,0,2,838,,2.5,
1985,320,2,6,4,1,1,108,122,89,3,0,,1124,,,
2017,563,1,6,4,3,1,92,141,130,11,3,,7114,,,burned in 2013 fire
1996,696,2,6,4,3,1,85,122,78,3,0,1,1007,,,
1989,117,1,3,1,,1,47,37,33,3,0,1,150,,,
1989,533,2,6,3,2,1,49,63,22,2,0,,74,,,
1994,788,2,6,4,4,1,108,118,118,3,0,1,1435,,,
1986,16,1,4,2,,1,99,112,108,10,0,4,5077,,,
1986,100,2,5,2,,1,52,120,82,7,0,3,2379,,,
1997,245,2,6,4,2,1,104,110,96,4,0,2,1532,,2,
1985,165,1,6,4,2,1,95,153,128,7,0,,2491,,,
1986,12,2,1,1,,1,64,105,77,3,0,1,996,,,
1993,502,2,6,3,2,1,99,179,170,5,3,1,2657,6,5,
1995,561,2,6,3,1,1,99,156,112,5,0,2,2036,,2.5,
1993,69,1,2,1,,1,67,92,82,6,0,3,1316,0,2,
2017,566,2,6,3,1,1,83,101,51,3,0,,717,,,
1993,97,1,2,2,,1,89,77,74,7,0,4,1757,18,1.75,
2001,416,1,6,3,2,1,96,125,99,9,2,9,3770,,,
1984,103,2,3,1,,1,109,200,167,6,0,2,2957,,,
2017,91,2,5,2,,1,75,123,78,5,0,,1672,,,
2001,463,1,6,3,1,1,126,221,206,11,0,11,9538,,,
1989,87,1,3,1,,1,59,81,65,7,0,2,1618,,,
1996,566,2,6,3,1,1,67,97,66,3.5,0,2,1044,,2.33,
1989,233,2,6,4,2,1,105,124,100,3,1,2,1242,,,
1993,248,2,6,4,2,1,108,78,70,3,0,1,921,65,3,
1996,613,1,6,4,4,1,122,175,173,11,0,4,8534,,,
1990,402,1,6,3,2,1,115,174,167,14,1,14,14530,,1,
1995,145,1,6,4,2,1,99,128,103,7,0,4,2169,,1.75,
1991,317,2,6,4,1,1,104,147,105,4,0,1,1628,,4,
1985,2,1,4,2,,1,79,114,88,8,0,3,2667,,,
1996,697,2,6,4,4,1,134,143,122,4,0,2,1810,,,
1993,74,1,2,1,,1,78,77,76,6,0,3,1254,0,2,
1996,560,2,6,3,1,1,112,227,148,5,0,2,2421,,2.5,
2017,569,1,6,4,3,1,93,143,109,12,3,,7767,,,burned in 2013 fire
2017,713,2,6,4,4,1,101,112,82,6,5,,2047,,,burned in 2013 fire
2001,304,2,6,4,1,1,130,146,142,5,1,5,2357,,,
1992,80,1,2,1,,1,59,79,53,5,0,2,655,,2.5,
1989,74,2,2,2,,1,92,125,97,4,0,2,1543,,,
1992,669,2,6,4,3,1,53,76,39,1.5,0,1.5,90,,,
2017,96,1,2,2,,1,97,101,60,5,0,,709,,,
1986,187,1,6,4,1,1,80,107,93,7,0,3,2032,,,
2001,62,2,2,2,,1,79,70,57,4,1,4,1114,,,
1997,570,1,6,4,5,1,103,141,118,7,0,2,2365,,,
1996,526,1,6,4,3,1,67,79,57,3,0,2,212,,,
1995,112,1,3,1,,1,64,51,50,4,0,4,378,,1,
1991,624,1,6,4,5,1,109,102,93,6,0,,1426,,,
1987,120,1,3,1,,1,72,89,79,9,1,3,3265,,,
1987,263,2,6,4,2,1,115,161,112,5,0,4,2036,,,
1992,281,2,6,4,1,1,77,176,163,4,0,1,2249,,4,
1995,427,1,6,3,2,1,98,104,85,8,0,4,2609,,2,
1983,56,2,4,2,,1,91,133,105,6,0,2,,,,
1995,563,2,6,3,1,1,94,133,128,5,0,2,2207,,2.5,
2017,119,1,3,1,,1,96,123,111,10,0,,5166,,,
1997,15,2,1,1,,1,84,125,76,2.5,0,2,819,,1.67,
1982,111,2,3,1,,1,74,132,86,5,0,2,1757,,,
1992,183,1,6,4,1,1,137,250,181,14,0,4,15295,,3.5,
1994,496,1,6,3,1,1,67,123,73,6,0,2,1222,,3,
1987,63,1,2,1,,1,79,66,62,4,0,2,433,,,
1981,83,1,3,1,,1,93,156,109,8,0,,3057,,,
1986,118,2,3,1,,1,69,84,67,2,0,1,556,,,
1994,427,1,6,3,2,1,97,103,86,8,0,3,2628,,2.67,
1997,38,2,2,1,,1,87,153,106,7,0,2,2636,,3.5,
1997,724,2,6,4,3,1,92,176,61,3,0,1,825,,,
1986,52,2,4,2,,1,99,175,144,5,1,3,2378,,,
1981,98,2,5,2,,1,88,162,92,5,1,,1822,,,
1995,585,2,6,3,1,1,95,176,127,5,0,2,2196,,2.5,
1992,216,1,6,4,1,1,118,167,147,9,0,4,4849,,2.25,
1993,299,2,6,4,1,1,126,177,149,5,0,2,2432,92,2.5,
1995,494,1,6,3,1,1,98,145,143,12,1,4,9234,,3,
1987,134,1,6,4,2,1,71,97,75,4,0,4,489,,,
1986,287,2,6,4,1,1,108,140,96,3,0,1,1199,,,
2017,93,2,5,2,,1,74,109,77,3.5,0,,1162,,,
2017,85,1,3,1,,1,78,128,103,8,0,,2948,,,
1986,38,1,1,1,,1,70,97,80,6,0,3,1295,,,
1992,12,1,4,2,,1,142,172,143,12,4,3,9234,,4,
2001,77,1,2,1,,1,45,48,34,3,0,3,152,,,
1989,410,1,6,3,2,1,74,129,128,9,0,,4440,,,
1997,524,1,6,4,3,1,67,88,39,6,0,2,820,,,
1997,437,1,6,3,2,1,68,79,73,4,0,2,481,,2,
